100000	5060.88	1999-05-15	300
100334	2002.50	2005-12-20	990
100335	2002.50	2006-01-20	990
100336	2002.50	2006-02-20	990
101010	5060.88	2000-03-15	300
101110	3460.66	2000-04-15	300
101210	9060.55	2001-10-15	300
111999	1250.00	2005-04-15	150
112099	1000.00	2005-06-22	150
112199	1350.00	2005-08-30	150
112299	1000.00	2005-10-15	150
121212	1300.00	2002-01-15	170
121213	1000.00	2002-02-15	170
121214	1400.00	2002-03-15	170
121515	1000.00	2003-10-15	230
121616	1600.00	2003-11-15	230
155099	1800.00	2004-11-13	250
155199	1000.00	2003-10-15	250
155299	1900.00	2003-11-15	250
155999	1000.00	2004-10-14	250
210001	6000.00	1999-04-12	100
230001	1300.00	2005-09-10	550
231015	1800.00	2005-10-10	550
250013	2002.00	2002-03-10	820
400400	6000.00	2003-03-15	340
451300	1750.00	1999-05-22	800
460460	1902.50	2004-02-20	100
460560	1902.50	2004-03-22	100
460660	1902.50	2004-04-24	100
500005	5060.88	1999-05-15	990
600099	1300.00	2001-10-13	860
600199	1400.00	2002-11-15	860
600299	1500.00	2002-12-05	860
600999	1200.00	2001-09-14	860
653099	1350.88	2003-09-13	750
653199	1432.77	2004-08-15	750
653999	1255.99	2003-09-14	750
750299	1560.00	2004-12-03	800
750299	1570.00	2005-12-05	800
750300	1565.00	2004-11-05	800
752252	1675.00	2006-12-15	820
752252	1675.00	2006-11-22	820
950888	2002.50	2006-07-10	500
950889	2002.50	2006-08-10	500
950890	2002.50	2006-09-10	500
950891	2002.50	2006-10-10	500
